Timestamp,Substation_ID,Asset_ID,Voltage_V,Current_A,Power_kW,Frequency_Hz,Energy_Consumed_kWh,Load_Type,Fault_Event,Reconfig_Action,Asset_Type
5/1/2025 0:00,SS_001,TR_01,232.48,9.59,2.23,50.13,0.0372,Industrial,None,None,Transformer
5/1/2025 0:01,SS_001,SW_01,237.62,9.3,2.21,49.95,0.0368,Industrial,None,None,Switch
5/1/2025 0:02,SS_001,SM_01,237.9,12.3,2.93,49.91,0.0488,Residential,None,None,SmartMeter
5/1/2025 0:03,SS_001,SW_01,232.71,8.61,2,49.91,0.0333,Commercial,None,None,Switch
5/1/2025 0:04,SS_002,SM_01,231.21,4.26,0.98,49.66,0.0163,Commercial,None,None,SmartMeter
5/1/2025 0:05,SS_001,SM_01,227.19,6.96,1.58,50.06,0.0263,Industrial,None,None,SmartMeter
5/1/2025 0:06,SS_002,TR_01,225.46,5.76,1.3,50.29,0.0217,Industrial,None,None,Transformer
5/1/2025 0:07,SS_001,TR_01,228.87,10.2,2.33,49.72,0.0388,Residential,None,None,Transformer
5/1/2025 0:08,SS_002,TR_01,227.28,10.33,2.35,49.77,0.0392,Residential,Outage,Load_Balance,Transformer
5/1/2025 0:09,SS_001,SM_01,231.88,8.2,1.9,49.94,0.0317,Commercial,None,None,SmartMeter
5/1/2025 0:10,SS_002,SW_01,226.99,15.56,3.53,50,0.0588,Commercial,None,None,Switch
5/1/2025 0:11,SS_002,SM_01,224.71,12.47,2.8,49.76,0.0467,Industrial,None,None,SmartMeter
5/1/2025 0:12,SS_001,SM_01,231.04,4.12,0.95,49.73,0.0158,Residential,None,None,SmartMeter
5/1/2025 0:13,SS_002,SM_01,230.98,12.22,2.82,50.03,0.047,Industrial,Overload,Load_Balance,SmartMeter
5/1/2025 0:14,SS_001,SW_01,229.42,9.1,2.09,49.7,0.0348,Commercial,None,None,Switch
5/1/2025 0:15,SS_002,SM_01,226.4,8.62,1.95,50.21,0.0325,Commercial,None,None,SmartMeter
5/1/2025 0:16,SS_001,SW_01,231.72,4.71,1.09,50.06,0.0182,Residential,None,None,Switch
5/1/2025 0:17,SS_002,TR_01,228.07,7.97,1.82,50.12,0.0303,Residential,None,None,Transformer
5/1/2025 0:18,SS_001,SM_01,235.15,12.79,3.01,49.83,0.0502,Residential,None,None,SmartMeter
5/1/2025 0:19,SS_001,SM_01,228.45,10.99,2.51,50.2,0.0418,Residential,None,None,SmartMeter
5/1/2025 0:20,SS_002,SM_01,227.6,9.44,2.15,49.78,0.0358,Commercial,None,None,SmartMeter
5/1/2025 0:21,SS_001,SM_01,224.02,12.44,2.79,50.27,0.0465,Industrial,None,None,SmartMeter
5/1/2025 0:22,SS_001,SW_01,229.64,13.01,2.99,50.07,0.0498,Industrial,None,None,Switch
5/1/2025 0:23,SS_002,TR_01,226.77,11.08,2.51,50.31,0.0418,Industrial,None,None,Transformer
5/1/2025 0:24,SS_002,SM_01,229.82,14.69,3.38,49.48,0.0563,Industrial,None,None,SmartMeter
5/1/2025 0:25,SS_001,SW_01,234.11,10.26,2.4,49.94,0.04,Commercial,None,None,Switch
5/1/2025 0:26,SS_002,SM_01,230.46,4.04,0.93,49.96,0.0155,Commercial,None,None,SmartMeter
5/1/2025 0:27,SS_002,SM_01,231.79,14.43,3.34,49.9,0.0557,Residential,None,None,SmartMeter
5/1/2025 0:28,SS_002,SW_01,225.96,8.49,1.92,50.18,0.032,Commercial,None,None,Switch
5/1/2025 0:29,SS_002,TR_01,231.64,8.41,1.95,50.1,0.0325,Industrial,None,None,Transformer
5/1/2025 0:30,SS_002,SW_01,230.49,12.91,2.98,49.86,0.0497,Industrial,None,None,Switch
5/1/2025 0:31,SS_002,TR_01,228.36,8.82,2.01,49.71,0.0335,Commercial,None,None,Transformer
5/1/2025 0:32,SS_002,SM_01,231.48,10.78,2.5,50,0.0417,Industrial,None,None,SmartMeter
5/1/2025 0:33,SS_002,SW_01,228.83,5.75,1.32,49.92,0.022,Commercial,None,None,Switch
5/1/2025 0:34,SS_001,TR_01,228.29,7.59,1.73,49.97,0.0288,Industrial,None,None,Transformer
5/1/2025 0:35,SS_001,SM_01,232.02,15.66,3.63,50.03,0.0605,Commercial,None,None,SmartMeter
5/1/2025 0:36,SS_001,SM_01,231.29,9.78,2.26,49.62,0.0377,Industrial,Outage,Load_Balance,SmartMeter
5/1/2025 0:37,SS_002,SW_01,229.87,10.18,2.34,50.49,0.039,Commercial,None,None,Switch
5/1/2025 0:38,SS_001,SW_01,229.04,10.9,2.5,49.99,0.0417,Commercial,None,None,Switch
5/1/2025 0:39,SS_002,SM_01,224.16,13.43,3.01,50.15,0.0502,Commercial,None,None,SmartMeter
5/1/2025 0:40,SS_001,SM_01,233.96,7.27,1.7,50.28,0.0283,Industrial,None,None,SmartMeter
5/1/2025 0:41,SS_001,TR_01,222.99,11.76,2.62,50.44,0.0437,Industrial,None,None,Transformer
5/1/2025 0:42,SS_001,SW_01,225.05,8.3,1.87,50.02,0.0312,Residential,None,None,Switch
5/1/2025 0:43,SS_002,SM_01,227.48,5.35,1.22,50.01,0.0203,Industrial,None,None,SmartMeter
5/1/2025 0:44,SS_002,SM_01,224.69,11.42,2.57,49.82,0.0428,Residential,Outage,Load_Balance,SmartMeter
5/1/2025 0:45,SS_002,TR_01,237.75,7.65,1.82,49.94,0.0303,Residential,Outage,Load_Balance,Transformer
5/1/2025 0:46,SS_002,SW_01,234.07,6.31,1.48,50.05,0.0247,Industrial,UnderVoltage,Load_Balance,Switch
5/1/2025 0:47,SS_002,SW_01,236.54,5.18,1.23,50.04,0.0205,Industrial,None,None,Switch
